latitude,longitude,Emissions
39.001125,-89.017923,"65,894"
40.596539,-88.224588,"33,393"
37.991848,-88.926246,"149,833"
40.46524,-90.202269,"105,648"
37.768677,-88.227964,"20,729"
39.355444,-90.387757,"44,806"
41.29241,-88.401054,"97,534"
38.085226,-88.539005,"33,189"
40.405792,-91.167987,"61,709"
37.517852,-88.266148,"13,840"
40.814471,-90.941246,"22,332"
41.350021,-90.130838,"145,867"
40.748867,-87.833601,"92,985"
37.786096,-89.381212,"204,112"
39.004874,-88.150763,"34,827"
38.30078,-88.92421,"143,078"
39.080192,-90.361365,"83,242"
42.362391,-90.21147,"49,489"
37.460709,-88.882131,"47,754"
41.939594,-88.42804,"823,739"
41.13951,-87.861117,"201,114"
41.58814,-88.430626,"195,394"
40.930941,-90.213761,"154,514"
42.326435,-87.436033,"1,174,240"
41.343341,-88.885931,"293,711"
38.718954,-87.730221,"45,470"
41.747442,-89.299351,"71,719"
40.894376,-88.552852,"79,885"
40.129122,-89.365307,"88,526"
40.455808,-90.678954,"84,054"
42.324298,-88.452245,"535,438"
40.494559,-88.844539,"433,681"
39.860237,-88.961529,"355,964"
39.2659,-89.926344,"164,879"
38.827082,-89.900195,"921,719"
38.648106,-88.920488,"141,127"
41.031119,-89.342371,"38,370"
40.236993,-89.913575,"50,016"
37.216119,-88.705658,"56,362"
40.022569,-89.794133,"44,715"
41.204791,-90.741433,"49,560"
38.277983,-90.179078,"126,613"
39.228093,-89.478004,"93,355"
39.7183,-90.202543,"114,771"
39.636896,-88.625726,"48,446"
42.041884,-89.320176,"104,537"
40.785995,-89.767106,"509,181"
38.084381,-89.368525,"74,580"
40.009056,-88.592328,"56,235"
39.625106,-90.889034,"54,200"
37.417169,-88.542374,"15,856"
37.215615,-89.127755,"20,721"
41.198961,-89.298347,"18,828"
38.056515,-89.82121,"110,147"
38.711552,-88.085698,"52,975"
41.468404,-90.572203,"284,963"
38.470198,-89.928546,"921,242"
37.751508,-88.545024,"93,066"
39.757258,-89.662032,"697,488"
40.156905,-90.613464,"25,851"
39.637002,-90.477771,"18,306"
39.384926,-88.798862,"76,590"
41.096908,-89.797411,"18,898"
42.349726,-89.665994,"94,473"
40.508074,-89.51626,"374,978"
37.485644,-89.244638,"68,395"
40.186754,-87.726778,"239,715"
38.445821,-87.839167,"43,740"
40.850441,-90.620223,"50,930"
38.35314,-89.417187,"56,463"
38.431857,-88.43243,"63,470"
38.087372,-88.178585,"54,397"
41.750571,-89.910957,"122,929"
41.448474,-87.978456,"1,131,958"
37.730353,-88.930018,"260,475"
42.337396,-89.161205,"505,054"
40.789789,-89.210607,"114,801"
40.745733,-84.93613,"87,997"
41.091855,-85.07223,"819,935"
39.205843,-85.897999,"225,047"
40.600945,-87.314846,"19,309"
40.472672,-85.32373,"41,589"
40.050892,-86.469014,"198,138"
39.192864,-86.239728,"52,478"
40.58498,-86.565141,"55,897"
40.753799,-86.355168,"96,515"
38.476217,-85.711122,"318,733"
39.393951,-87.115837,"95,184"
40.305944,-86.477567,"83,682"
38.289433,-86.440871,"34,333"
38.694546,-87.072759,"88,162"
39.148321,-84.973497,"153,211"
39.30598,-85.499831,"82,998"
41.401189,-85.000185,"102,352"
40.227543,-85.399262,"307,866"
38.373344,-86.873385,"114,385"
41.600693,-85.863986,"362,673"
39.639655,-85.185032,"63,986"
38.317936,-85.911474,"224,207"
40.121237,-87.234872,"51,569"
39.409762,-85.066964,"75,519"
41.050384,-86.265006,"53,424"
38.317398,-87.580523,"112,138"
40.515758,-85.654946,"188,622"
39.047147,-87.004771,"98,463"
40.053646,-86.021726,"843,501"
39.82253,-85.773162,"212,076"
38.18644,-86.103681,"123,921"
39.768963,-86.509908,"441,065"
39.929591,-85.397363,"125,990"
40.483537,-86.114118,"223,636"
40.826394,-85.478597,"103,255"
38.911957,-86.042516,"130,866"
41.017688,-87.118814,"69,890"
40.434972,-85.00338,"63,444"
38.783604,-85.44009,"112,628"
38.996234,-85.628111,"99,662"
39.495986,-86.0946,"384,644"
38.688391,-87.420354,"114,215"
41.244293,-85.861575,"163,951"
41.642468,-85.426302,"54,470"
41.472247,-87.374337,"905,231"
41.549013,-86.744739,"216,783"
38.839815,-86.48782,"158,272"
40.166203,-85.722454,"361,078"
39.782976,-86.135794,"2,434,225"
41.325003,-86.269036,"89,699"
38.705322,-86.801847,"35,132"
40.772881,-86.044258,"88,616"
39.160751,-86.523325,"350,640"
40.040296,-86.892715,"102,911"
39.482646,-86.447457,"237,198"
40.962399,-87.402172,"30,902"
41.40468,-85.417271,"114,710"
38.940527,-84.964299,"18,747"
38.547381,-86.489257,"63,920"
39.317339,-86.838845,"75,531"
39.77425,-87.19695,"50,202"
38.081436,-86.62654,"47,160"
38.397898,-87.232532,"37,752"
41.509916,-87.071313,"316,180"
38.027614,-87.868653,"72,670"
41.045272,-86.692538,"30,299"
39.665548,-86.853373,"113,171"
40.164174,-85.005481,"84,647"
39.10023,-85.260541,"91,195"
39.622357,-85.466403,"50,547"
41.617699,-86.288159,"546,986"
38.679431,-85.751898,"79,532"
39.524135,-85.792174,"136,908"
38.009697,-87.010375,"51,159"
41.284478,-86.644636,"47,537"
41.643467,-85.002405,"67,662"
39.089225,-87.415843,"66,862"
38.825854,-85.029681,"36,370"
40.38913,-86.893555,"415,735"
40.310229,-86.056207,"47,830"
39.623111,-84.925152,"22,672"
